ENTRIESn_hourly,hour,day_week,weekday,latitude,longitude,fog,rain,meanprecipi,meanpressurei,meantempi,meanwspdi
999,16,3,1,40.69132,-73.867135,0,0,0,29.96,56.83333333,17.08333333
584,20,3,1,40.69132,-73.867135,0,0,0,29.96,56.83333333,17.08333333
170,0,4,1,40.69132,-73.867135,0,0,0,29.95166667,56.98333333,13.63333333
46,4,4,1,40.69132,-73.867135,0,0,0,29.95166667,56.98333333,13.63333333
604,8,4,1,40.69132,-73.867135,0,0,0,29.95166667,56.98333333,13.63333333
1676,12,4,1,40.69132,-73.867135,0,0,0,29.95166667,56.98333333,13.63333333
954,16,4,1,40.69132,-73.867135,0,0,0,29.95166667,56.98333333,13.63333333
483,20,4,1,40.69132,-73.867135,0,0,0,29.95166667,56.98333333,13.63333333
183,0,5,0,40.69132,-73.867135,0,0,0,29.85,59.06,10.84
45,4,5,0,40.69132,-73.867135,0,0,0,29.85,59.06,10.84
1,12,5,0,40.69132,-73.867135,0,0,0,29.85,59.06,10.84
0,16,5,0,40.69132,-73.867135,0,0,0,29.85,59.06,10.84
0,20,5,0,40.69132,-73.867135,0,0,0,29.85,59.06,10.84
0,0,6,0,40.69132,-73.867135,0,0,0,29.882,62,8.98
0,4,6,0,40.69132,-73.867135,0,0,0,29.882,62,8.98
0,12,6,0,40.69132,-73.867135,0,0,0,29.882,62,8.98
0,16,6,0,40.69132,-73.867135,0,0,0,29.882,62,8.98
0,20,6,0,40.69132,-73.867135,0,0,0,29.882,62,8.98
2,0,0,1,40.69132,-73.867135,0,0,0,29.94833333,62.68333333,10.18333333
14,4,0,1,40.69132,-73.867135,0,0,0,29.94833333,62.68333333,10.18333333
321,8,0,1,40.69132,-73.867135,0,0,0,29.94833333,62.68333333,10.18333333
1951,12,0,1,40.69132,-73.867135,0,0,0,29.94833333,62.68333333,10.18333333
923,16,0,1,40.69132,-73.867135,0,0,0,29.94833333,62.68333333,10.18333333
574,20,0,1,40.69132,-73.867135,0,0,0,29.94833333,62.68333333,10.18333333
163,0,1,1,40.69132,-73.867135,0,0,0,29.97333333,60.51666667,12.86666667
37,4,1,1,40.69132,-73.867135,0,0,0,29.97333333,60.51666667,12.86666667
1030,8,1,1,40.69132,-73.867135,0,0,0,29.97333333,60.51666667,12.86666667
1303,12,1,1,40.69132,-73.867135,0,0,0,29.97333333,60.51666667,12.86666667
961,16,1,1,40.69132,-73.867135,0,0,0,29.97333333,60.51666667,12.86666667
549,20,1,1,40.69132,-73.867135,0,0,0,29.97333333,60.51666667,12.86666667
150,0,2,1,40.69132,-73.867135,0,0,0,30.068,58.84,9.22
40,4,2,1,40.69132,-73.867135,0,0,0,30.068,58.84,9.22
2297,12,2,1,40.69132,-73.867135,0,0,0,30.068,58.84,9.22
899,16,2,1,40.69132,-73.867135,0,0,0,30.068,58.84,9.22
476,20,2,1,40.69132,-73.867135,0,0,0,30.068,58.84,9.22
135,0,3,1,40.69132,-73.867135,0,0,0,30.062,58.18,8.3
259,4,3,1,40.69132,-73.867135,0,0,0,30.062,58.18,8.3
2318,12,3,1,40.69132,-73.867135,0,0,0,30.062,58.18,8.3
950,16,3,1,40.69132,-73.867135,0,0,0,30.062,58.18,8.3
91,20,3,1,40.69132,-73.867135,0,0,0,30.062,58.18,8.3
680,0,4,1,40.69132,-73.867135,0,0,0,29.965,56.85,5.383333333
41,4,4,1,40.69132,-73.867135,0,0,0,29.965,56.85,5.383333333
442,8,4,1,40.69132,-73.867135,0,0,0,29.965,56.85,5.383333333
1825,12,4,1,40.69132,-73.867135,0,0,0,29.965,56.85,5.383333333
1014,16,4,1,40.69132,-73.867135,0,0,0,29.965,56.85,5.383333333
480,20,4,1,40.69132,-73.867135,0,0,0,29.965,56.85,5.383333333
214,0,5,0,40.69132,-73.867135,0,0,0,29.846,59.18,8.3
44,4,5,0,40.69132,-73.867135,0,0,0,29.846,59.18,8.3
1011,12,5,0,40.69132,-73.867135,0,0,0,29.846,59.18,8.3
658,16,5,0,40.69132,-73.867135,0,0,0,29.846,59.18,8.3
416,20,5,0,40.69132,-73.867135,0,0,0,29.846,59.18,8.3
196,0,6,0,40.69132,-73.867135,0,0,0,29.654,61.52,10.38
46,4,6,0,40.69132,-73.867135,0,1,0,29.654,61.52,10.38
636,12,6,0,40.69132,-73.867135,0,1,0,29.654,61.52,10.38
384,16,6,0,40.69132,-73.867135,0,0,0,29.654,61.52,10.38
265,20,6,0,40.69132,-73.867135,0,0,0,29.654,61.52,10.38
144,0,0,1,40.69132,-73.867135,0,0,0.001666667,29.705,60.7,10.56666667
40,4,0,1,40.69132,-73.867135,0,0,0.001666667,29.705,60.7,10.56666667
272,8,0,1,40.69132,-73.867135,0,0,0.001666667,29.705,60.7,10.56666667
1952,12,0,1,40.69132,-73.867135,0,1,0.001666667,29.705,60.7,10.56666667
180,16,0,1,40.69132,-73.867135,0,1,0.001666667,29.705,60.7,10.56666667
451,20,0,1,40.69132,-73.867135,0,1,0.001666667,29.705,60.7,10.56666667
55,0,1,1,40.69132,-73.867135,0,1,0.013333333,29.91,58.83333333,12.86666667
975,4,1,1,40.69132,-73.867135,0,1,0.013333333,29.91,58.83333333,12.86666667
169,8,1,1,40.69132,-73.867135,0,1,0.013333333,29.91,58.83333333,12.86666667
2022,12,1,1,40.69132,-73.867135,0,1,0.013333333,29.91,58.83333333,12.86666667
895,16,1,1,40.69132,-73.867135,0,1,0.013333333,29.91,58.83333333,12.86666667
498,20,1,1,40.69132,-73.867135,0,0,0.013333333,29.91,58.83333333,12.86666667
144,0,2,1,40.69132,-73.867135,0,0,0.053333333,29.96166667,63.46666667,15.35
37,4,2,1,40.69132,-73.867135,0,0,0.053333333,29.96166667,63.46666667,15.35
470,8,2,1,40.69132,-73.867135,0,0,0.053333333,29.96166667,63.46666667,15.35
1840,12,2,1,40.69132,-73.867135,0,0,0.053333333,29.96166667,63.46666667,15.35
964,16,2,1,40.69132,-73.867135,0,1,0.053333333,29.96166667,63.46666667,15.35
551,20,2,1,40.69132,-73.867135,0,1,0.053333333,29.96166667,63.46666667,15.35
155,0,3,1,40.69132,-73.867135,0,0,0,29.99,64.03333333,7.3
49,4,3,1,40.69132,-73.867135,0,0,0,29.99,64.03333333,7.3
827,8,3,1,40.69132,-73.867135,0,0,0,29.99,64.03333333,7.3
1498,12,3,1,40.69132,-73.867135,0,0,0,29.99,64.03333333,7.3
974,16,3,1,40.69132,-73.867135,0,0,0,29.99,64.03333333,7.3
592,20,3,1,40.69132,-73.867135,0,0,0,29.99,64.03333333,7.3
198,0,4,1,40.69132,-73.867135,0,0,0.004,29.954,60.52,6.7
53,4,4,1,40.69132,-73.867135,0,0,0.004,29.954,60.52,6.7
1978,12,4,1,40.69132,-73.867135,0,0,0.004,29.954,60.52,6.7
889,16,4,1,40.69132,-73.867135,0,1,0.004,29.954,60.52,6.7
422,20,4,1,40.69132,-73.867135,0,0,0.004,29.954,60.52,6.7
681,0,5,0,40.69132,-73.867135,0,0,0,29.955,61.08333333,4.816666667
40,4,5,0,40.69132,-73.867135,0,0,0,29.955,61.08333333,4.816666667
141,8,5,0,40.69132,-73.867135,1,0,0,29.955,61.08333333,4.816666667
886,12,5,0,40.69132,-73.867135,0,0,0,29.955,61.08333333,4.816666667
579,16,5,0,40.69132,-73.867135,0,0,0,29.955,61.08333333,4.816666667
290,20,5,0,40.69132,-73.867135,0,0,0,29.955,61.08333333,4.816666667
228,0,6,0,40.69132,-73.867135,0,0,0,30.138,55.16,9.92
48,4,6,0,40.69132,-73.867135,0,0,0,30.138,55.16,9.92
667,12,6,0,40.69132,-73.867135,0,0,0,30.138,55.16,9.92
395,16,6,0,40.69132,-73.867135,0,0,0,30.138,55.16,9.92
270,20,6,0,40.69132,-73.867135,0,0,0,30.138,55.16,9.92
131,0,0,1,40.69132,-73.867135,0,0,0.001666667,30.02833333,59.11666667,10.93333333
41,4,0,1,40.69132,-73.867135,0,1,0.001666667,30.02833333,59.11666667,10.93333333
287,8,0,1,40.69132,-73.867135,0,0,0.001666667,30.02833333,59.11666667,10.93333333
1898,12,0,1,40.69132,-73.867135,0,0,0.001666667,30.02833333,59.11666667,10.93333333
939,16,0,1,40.69132,-73.867135,0,0,0.001666667,30.02833333,59.11666667,10.93333333
470,20,0,1,40.69132,-73.867135,0,0,0.001666667,30.02833333,59.11666667,10.93333333
158,0,1,1,40.69132,-73.867135,0,0,0,29.79166667,70.23333333,8.85
41,4,1,1,40.69132,-73.867135,1,0,0,29.79166667,70.23333333,8.85
1023,8,1,1,40.69132,-73.867135,1,0,0,29.79166667,70.23333333,8.85
1252,12,1,1,40.69132,-73.867135,0,0,0,29.79166667,70.23333333,8.85
1000,16,1,1,40.69132,-73.867135,0,0,0,29.79166667,70.23333333,8.85
536,20,1,1,40.69132,-73.867135,0,0,0,29.79166667,70.23333333,8.85
154,0,2,1,40.69132,-73.867135,0,0,0,29.90833333,70.46666667,8.65
39,4,2,1,40.69132,-73.867135,0,0,0,29.90833333,70.46666667,8.65
853,8,2,1,40.69132,-73.867135,0,0,0,29.90833333,70.46666667,8.65
1488,12,2,1,40.69132,-73.867135,0,0,0,29.90833333,70.46666667,8.65
1013,16,2,1,40.69132,-73.867135,0,0,0,29.90833333,70.46666667,8.65
512,20,2,1,40.69132,-73.867135,0,0,0,29.90833333,70.46666667,8.65
182,0,3,1,40.69132,-73.867135,0,0,0,29.93,66.56666667,6.933333333
35,4,3,1,40.69132,-73.867135,0,0,0,29.93,66.56666667,6.933333333
171,8,3,1,40.69132,-73.867135,0,0,0,29.93,66.56666667,6.933333333
2155,12,3,1,40.69132,-73.867135,0,0,0,29.93,66.56666667,6.933333333
1009,16,3,1,40.69132,-73.867135,0,0,0,29.93,66.56666667,6.933333333
552,20,3,1,40.69132,-73.867135,0,0,0,29.93,66.56666667,6.933333333
169,0,4,1,40.69132,-73.867135,0,0,0,29.955,69.8,11.53333333
18,4,4,1,40.69132,-73.867135,0,0,0,29.955,69.8,11.53333333
458,8,4,1,40.69132,-73.867135,1,0,0,29.955,69.8,11.53333333
1747,12,4,1,40.69132,-73.867135,1,0,0,29.955,69.8,11.53333333
1023,16,4,1,40.69132,-73.867135,0,0,0,29.955,69.8,11.53333333
471,20,4,1,40.69132,-73.867135,0,0,0,29.955,69.8,11.53333333
225,0,5,0,40.69132,-73.867135,0,0,0,30.032,69.78,10.36
48,4,5,0,40.69132,-73.867135,0,0,0,30.032,69.78,10.36
952,12,5,0,40.69132,-73.867135,0,0,0,30.032,69.78,10.36
473,16,5,0,40.69132,-73.867135,0,0,0,30.032,69.78,10.36
340,20,5,0,40.69132,-73.867135,0,0,0,30.032,69.78,10.36
206,0,6,0,40.69132,-73.867135,0,0,0,30.09666667,69.66666667,11.13333333
88,4,6,0,40.69132,-73.867135,1,0,0,30.09666667,69.66666667,11.13333333
98,8,6,0,40.69132,-73.867135,0,0,0,30.09666667,69.66666667,11.13333333
584,12,6,0,40.69132,-73.867135,0,0,0,30.09666667,69.66666667,11.13333333
480,16,6,0,40.69132,-73.867135,0,0,0,30.09666667,69.66666667,11.13333333
250,20,6,0,40.69132,-73.867135,0,0,0,30.09666667,69.66666667,11.13333333
190,0,0,1,40.69132,-73.867135,0,0,0.001666667,30.08,73.61666667,7.5
62,4,0,1,40.69132,-73.867135,0,0,0.001666667,30.08,73.61666667,7.5
117,8,0,1,40.69132,-73.867135,0,1,0.001666667,30.08,73.61666667,7.5
676,12,0,1,40.69132,-73.867135,0,0,0.001666667,30.08,73.61666667,7.5
512,16,0,1,40.69132,-73.867135,0,0,0.001666667,30.08,73.61666667,7.5
343,20,0,1,40.69132,-73.867135,0,0,0.001666667,30.08,73.61666667,7.5
193,0,1,1,40.69132,-73.867135,0,0,0,30.16833333,75.36666667,7.1
42,4,1,1,40.69132,-73.867135,0,0,0,30.16833333,75.36666667,7.1
834,8,1,1,40.69132,-73.867135,0,0,0,30.16833333,75.36666667,7.1
1373,12,1,1,40.69132,-73.867135,0,0,0,30.16833333,75.36666667,7.1
973,16,1,1,40.69132,-73.867135,0,0,0,30.16833333,75.36666667,7.1
484,20,1,1,40.69132,-73.867135,0,0,0,30.16833333,75.36666667,7.1
