ENTRIESn_hourly,day_hour,latitude,longitude,fog,rain,meanprecipi,meanpressurei,meantempi,meanwspdi
228,136,40.689945,-73.872564,0,0,0,30.008,73.18,11.5
146,140,40.689945,-73.872564,0,0,0,30.008,73.18,11.5
86,144,40.689945,-73.872564,0,0,0,30.066,73.8,9.92
48,148,40.689945,-73.872564,0,0,0,30.066,73.8,9.92
263,156,40.689945,-73.872564,0,0,0,30.066,73.8,9.92
190,160,40.689945,-73.872564,0,0,0,30.066,73.8,9.92
120,164,40.689945,-73.872564,0,0,0,30.066,73.8,9.92
89,0,40.689945,-73.872564,0,0,0,30.06333333,78.16666667,9.583333333
25,4,40.689945,-73.872564,0,0,0,30.06333333,78.16666667,9.583333333
74,8,40.689945,-73.872564,0,0,0,30.06333333,78.16666667,9.583333333
261,12,40.689945,-73.872564,0,0,0,30.06333333,78.16666667,9.583333333
257,16,40.689945,-73.872564,0,0,0,30.06333333,78.16666667,9.583333333
146,20,40.689945,-73.872564,0,0,0,30.06333333,78.16666667,9.583333333
89,24,40.689945,-73.872564,0,0,0,30.15833333,77.13333333,7.683333333
26,28,40.689945,-73.872564,0,0,0,30.15833333,77.13333333,7.683333333
241,32,40.689945,-73.872564,0,0,0,30.15833333,77.13333333,7.683333333
680,36,40.689945,-73.872564,0,0,0,30.15833333,77.13333333,7.683333333
295,40,40.689945,-73.872564,0,0,0,30.15833333,77.13333333,7.683333333
203,44,40.689945,-73.872564,0,0,0,30.15833333,77.13333333,7.683333333
0,144,40.69132,-73.867135,0,0,0,30.28333333,55.35,9.233333333
0,148,40.69132,-73.867135,0,0,0,30.28333333,55.35,9.233333333
0,152,40.69132,-73.867135,0,0,0,30.28333333,55.35,9.233333333
0,156,40.69132,-73.867135,0,0,0,30.28333333,55.35,9.233333333
0,160,40.69132,-73.867135,0,0,0,30.28333333,55.35,9.233333333
0,164,40.69132,-73.867135,0,0,0,30.28333333,55.35,9.233333333
54,0,40.69132,-73.867135,0,0,0,30.25333333,53.46666667,8.266666667
35,4,40.69132,-73.867135,0,0,0,30.25333333,53.46666667,8.266666667
960,8,40.69132,-73.867135,0,0,0,30.25333333,53.46666667,8.266666667
1319,12,40.69132,-73.867135,0,0,0,30.25333333,53.46666667,8.266666667
1004,16,40.69132,-73.867135,0,0,0,30.25333333,53.46666667,8.266666667
505,20,40.69132,-73.867135,0,0,0,30.25333333,53.46666667,8.266666667
129,24,40.69132,-73.867135,0,0,0,30.075,59.16666667,10.56666667
37,28,40.69132,-73.867135,0,0,0,30.075,59.16666667,10.56666667
353,32,40.69132,-73.867135,0,0,0,30.075,59.16666667,10.56666667
2039,36,40.69132,-73.867135,0,0,0,30.075,59.16666667,10.56666667
964,40,40.69132,-73.867135,0,0,0,30.075,59.16666667,10.56666667
566,44,40.69132,-73.867135,0,0,0,30.075,59.16666667,10.56666667
162,48,40.69132,-73.867135,0,0,0.0025,29.97,54.225,12.95
34,52,40.69132,-73.867135,0,0,0.0025,29.97,54.225,12.95
1916,60,40.69132,-73.867135,0,1,0.0025,29.97,54.225,12.95
1280,68,40.69132,-73.867135,0,0,0.0025,29.97,54.225,12.95
824,72,40.69132,-73.867135,0,0,0,29.96,56.83333333,17.08333333
37,76,40.69132,-73.867135,0,0,0,29.96,56.83333333,17.08333333
1122,80,40.69132,-73.867135,0,0,0,29.96,56.83333333,17.08333333
1236,84,40.69132,-73.867135,0,0,0,29.96,56.83333333,17.08333333
999,88,40.69132,-73.867135,0,0,0,29.96,56.83333333,17.08333333
584,92,40.69132,-73.867135,0,0,0,29.96,56.83333333,17.08333333
170,96,40.69132,-73.867135,0,0,0,29.95166667,56.98333333,13.63333333
46,100,40.69132,-73.867135,0,0,0,29.95166667,56.98333333,13.63333333
604,104,40.69132,-73.867135,0,0,0,29.95166667,56.98333333,13.63333333
1676,108,40.69132,-73.867135,0,0,0,29.95166667,56.98333333,13.63333333
954,112,40.69132,-73.867135,0,0,0,29.95166667,56.98333333,13.63333333
483,116,40.69132,-73.867135,0,0,0,29.95166667,56.98333333,13.63333333
183,120,40.69132,-73.867135,0,0,0,29.85,59.06,10.84
45,124,40.69132,-73.867135,0,0,0,29.85,59.06,10.84
1,132,40.69132,-73.867135,0,0,0,29.85,59.06,10.84
0,136,40.69132,-73.867135,0,0,0,29.85,59.06,10.84
0,140,40.69132,-73.867135,0,0,0,29.85,59.06,10.84
0,144,40.69132,-73.867135,0,0,0,29.882,62,8.98
0,148,40.69132,-73.867135,0,0,0,29.882,62,8.98
0,156,40.69132,-73.867135,0,0,0,29.882,62,8.98
0,160,40.69132,-73.867135,0,0,0,29.882,62,8.98
0,164,40.69132,-73.867135,0,0,0,29.882,62,8.98
2,0,40.69132,-73.867135,0,0,0,29.94833333,62.68333333,10.18333333
14,4,40.69132,-73.867135,0,0,0,29.94833333,62.68333333,10.18333333
321,8,40.69132,-73.867135,0,0,0,29.94833333,62.68333333,10.18333333
1951,12,40.69132,-73.867135,0,0,0,29.94833333,62.68333333,10.18333333
923,16,40.69132,-73.867135,0,0,0,29.94833333,62.68333333,10.18333333
574,20,40.69132,-73.867135,0,0,0,29.94833333,62.68333333,10.18333333
163,24,40.69132,-73.867135,0,0,0,29.97333333,60.51666667,12.86666667
37,28,40.69132,-73.867135,0,0,0,29.97333333,60.51666667,12.86666667
1030,32,40.69132,-73.867135,0,0,0,29.97333333,60.51666667,12.86666667
1303,36,40.69132,-73.867135,0,0,0,29.97333333,60.51666667,12.86666667
961,40,40.69132,-73.867135,0,0,0,29.97333333,60.51666667,12.86666667
549,44,40.69132,-73.867135,0,0,0,29.97333333,60.51666667,12.86666667
150,48,40.69132,-73.867135,0,0,0,30.068,58.84,9.22
40,52,40.69132,-73.867135,0,0,0,30.068,58.84,9.22
2297,60,40.69132,-73.867135,0,0,0,30.068,58.84,9.22
899,64,40.69132,-73.867135,0,0,0,30.068,58.84,9.22
476,68,40.69132,-73.867135,0,0,0,30.068,58.84,9.22
135,72,40.69132,-73.867135,0,0,0,30.062,58.18,8.3
259,76,40.69132,-73.867135,0,0,0,30.062,58.18,8.3
2318,84,40.69132,-73.867135,0,0,0,30.062,58.18,8.3
950,88,40.69132,-73.867135,0,0,0,30.062,58.18,8.3
91,92,40.69132,-73.867135,0,0,0,30.062,58.18,8.3
680,96,40.69132,-73.867135,0,0,0,29.965,56.85,5.383333333
41,100,40.69132,-73.867135,0,0,0,29.965,56.85,5.383333333
442,104,40.69132,-73.867135,0,0,0,29.965,56.85,5.383333333
1825,108,40.69132,-73.867135,0,0,0,29.965,56.85,5.383333333
1014,112,40.69132,-73.867135,0,0,0,29.965,56.85,5.383333333
480,116,40.69132,-73.867135,0,0,0,29.965,56.85,5.383333333
214,120,40.69132,-73.867135,0,0,0,29.846,59.18,8.3
44,124,40.69132,-73.867135,0,0,0,29.846,59.18,8.3
1011,132,40.69132,-73.867135,0,0,0,29.846,59.18,8.3
658,136,40.69132,-73.867135,0,0,0,29.846,59.18,8.3
416,140,40.69132,-73.867135,0,0,0,29.846,59.18,8.3
196,144,40.69132,-73.867135,0,0,0,29.654,61.52,10.38
46,148,40.69132,-73.867135,0,1,0,29.654,61.52,10.38
636,156,40.69132,-73.867135,0,1,0,29.654,61.52,10.38
384,160,40.69132,-73.867135,0,0,0,29.654,61.52,10.38
265,164,40.69132,-73.867135,0,0,0,29.654,61.52,10.38
144,0,40.69132,-73.867135,0,0,0.001666667,29.705,60.7,10.56666667
40,4,40.69132,-73.867135,0,0,0.001666667,29.705,60.7,10.56666667
272,8,40.69132,-73.867135,0,0,0.001666667,29.705,60.7,10.56666667
1952,12,40.69132,-73.867135,0,1,0.001666667,29.705,60.7,10.56666667
180,16,40.69132,-73.867135,0,1,0.001666667,29.705,60.7,10.56666667
451,20,40.69132,-73.867135,0,1,0.001666667,29.705,60.7,10.56666667
55,24,40.69132,-73.867135,0,1,0.013333333,29.91,58.83333333,12.86666667
975,28,40.69132,-73.867135,0,1,0.013333333,29.91,58.83333333,12.86666667
169,32,40.69132,-73.867135,0,1,0.013333333,29.91,58.83333333,12.86666667
2022,36,40.69132,-73.867135,0,1,0.013333333,29.91,58.83333333,12.86666667
895,40,40.69132,-73.867135,0,1,0.013333333,29.91,58.83333333,12.86666667
498,44,40.69132,-73.867135,0,0,0.013333333,29.91,58.83333333,12.86666667
144,48,40.69132,-73.867135,0,0,0.053333333,29.96166667,63.46666667,15.35
37,52,40.69132,-73.867135,0,0,0.053333333,29.96166667,63.46666667,15.35
470,56,40.69132,-73.867135,0,0,0.053333333,29.96166667,63.46666667,15.35
1840,60,40.69132,-73.867135,0,0,0.053333333,29.96166667,63.46666667,15.35
964,64,40.69132,-73.867135,0,1,0.053333333,29.96166667,63.46666667,15.35
551,68,40.69132,-73.867135,0,1,0.053333333,29.96166667,63.46666667,15.35
155,72,40.69132,-73.867135,0,0,0,29.99,64.03333333,7.3
49,76,40.69132,-73.867135,0,0,0,29.99,64.03333333,7.3
827,80,40.69132,-73.867135,0,0,0,29.99,64.03333333,7.3
1498,84,40.69132,-73.867135,0,0,0,29.99,64.03333333,7.3
974,88,40.69132,-73.867135,0,0,0,29.99,64.03333333,7.3
592,92,40.69132,-73.867135,0,0,0,29.99,64.03333333,7.3
198,96,40.69132,-73.867135,0,0,0.004,29.954,60.52,6.7
53,100,40.69132,-73.867135,0,0,0.004,29.954,60.52,6.7
1978,108,40.69132,-73.867135,0,0,0.004,29.954,60.52,6.7
889,112,40.69132,-73.867135,0,1,0.004,29.954,60.52,6.7
422,116,40.69132,-73.867135,0,0,0.004,29.954,60.52,6.7
681,120,40.69132,-73.867135,0,0,0,29.955,61.08333333,4.816666667
40,124,40.69132,-73.867135,0,0,0,29.955,61.08333333,4.816666667
141,128,40.69132,-73.867135,1,0,0,29.955,61.08333333,4.816666667
886,132,40.69132,-73.867135,0,0,0,29.955,61.08333333,4.816666667
579,136,40.69132,-73.867135,0,0,0,29.955,61.08333333,4.816666667
290,140,40.69132,-73.867135,0,0,0,29.955,61.08333333,4.816666667
228,144,40.69132,-73.867135,0,0,0,30.138,55.16,9.92
48,148,40.69132,-73.867135,0,0,0,30.138,55.16,9.92
667,156,40.69132,-73.867135,0,0,0,30.138,55.16,9.92
395,160,40.69132,-73.867135,0,0,0,30.138,55.16,9.92
270,164,40.69132,-73.867135,0,0,0,30.138,55.16,9.92
131,0,40.69132,-73.867135,0,0,0.001666667,30.02833333,59.11666667,10.93333333
41,4,40.69132,-73.867135,0,1,0.001666667,30.02833333,59.11666667,10.93333333
287,8,40.69132,-73.867135,0,0,0.001666667,30.02833333,59.11666667,10.93333333
1898,12,40.69132,-73.867135,0,0,0.001666667,30.02833333,59.11666667,10.93333333
939,16,40.69132,-73.867135,0,0,0.001666667,30.02833333,59.11666667,10.93333333
470,20,40.69132,-73.867135,0,0,0.001666667,30.02833333,59.11666667,10.93333333
158,24,40.69132,-73.867135,0,0,0,29.79166667,70.23333333,8.85
41,28,40.69132,-73.867135,1,0,0,29.79166667,70.23333333,8.85
1023,32,40.69132,-73.867135,1,0,0,29.79166667,70.23333333,8.85
1252,36,40.69132,-73.867135,0,0,0,29.79166667,70.23333333,8.85
1000,40,40.69132,-73.867135,0,0,0,29.79166667,70.23333333,8.85
536,44,40.69132,-73.867135,0,0,0,29.79166667,70.23333333,8.85
154,48,40.69132,-73.867135,0,0,0,29.90833333,70.46666667,8.65
39,52,40.69132,-73.867135,0,0,0,29.90833333,70.46666667,8.65
853,56,40.69132,-73.867135,0,0,0,29.90833333,70.46666667,8.65
1488,60,40.69132,-73.867135,0,0,0,29.90833333,70.46666667,8.65
1013,64,40.69132,-73.867135,0,0,0,29.90833333,70.46666667,8.65
512,68,40.69132,-73.867135,0,0,0,29.90833333,70.46666667,8.65
182,72,40.69132,-73.867135,0,0,0,29.93,66.56666667,6.933333333
35,76,40.69132,-73.867135,0,0,0,29.93,66.56666667,6.933333333
171,80,40.69132,-73.867135,0,0,0,29.93,66.56666667,6.933333333
2155,84,40.69132,-73.867135,0,0,0,29.93,66.56666667,6.933333333
1009,88,40.69132,-73.867135,0,0,0,29.93,66.56666667,6.933333333
552,92,40.69132,-73.867135,0,0,0,29.93,66.56666667,6.933333333
169,96,40.69132,-73.867135,0,0,0,29.955,69.8,11.53333333
18,100,40.69132,-73.867135,0,0,0,29.955,69.8,11.53333333
458,104,40.69132,-73.867135,1,0,0,29.955,69.8,11.53333333
1747,108,40.69132,-73.867135,1,0,0,29.955,69.8,11.53333333
1023,112,40.69132,-73.867135,0,0,0,29.955,69.8,11.53333333
471,116,40.69132,-73.867135,0,0,0,29.955,69.8,11.53333333
225,120,40.69132,-73.867135,0,0,0,30.032,69.78,10.36
48,124,40.69132,-73.867135,0,0,0,30.032,69.78,10.36
952,132,40.69132,-73.867135,0,0,0,30.032,69.78,10.36
473,136,40.69132,-73.867135,0,0,0,30.032,69.78,10.36
340,140,40.69132,-73.867135,0,0,0,30.032,69.78,10.36
206,144,40.69132,-73.867135,0,0,0,30.09666667,69.66666667,11.13333333
88,148,40.69132,-73.867135,1,0,0,30.09666667,69.66666667,11.13333333
98,152,40.69132,-73.867135,0,0,0,30.09666667,69.66666667,11.13333333
584,156,40.69132,-73.867135,0,0,0,30.09666667,69.66666667,11.13333333
480,160,40.69132,-73.867135,0,0,0,30.09666667,69.66666667,11.13333333
250,164,40.69132,-73.867135,0,0,0,30.09666667,69.66666667,11.13333333
190,0,40.69132,-73.867135,0,0,0.001666667,30.08,73.61666667,7.5
62,4,40.69132,-73.867135,0,0,0.001666667,30.08,73.61666667,7.5
117,8,40.69132,-73.867135,0,1,0.001666667,30.08,73.61666667,7.5
676,12,40.69132,-73.867135,0,0,0.001666667,30.08,73.61666667,7.5
512,16,40.69132,-73.867135,0,0,0.001666667,30.08,73.61666667,7.5
343,20,40.69132,-73.867135,0,0,0.001666667,30.08,73.61666667,7.5
193,24,40.69132,-73.867135,0,0,0,30.16833333,75.36666667,7.1
42,28,40.69132,-73.867135,0,0,0,30.16833333,75.36666667,7.1
834,32,40.69132,-73.867135,0,0,0,30.16833333,75.36666667,7.1
1373,36,40.69132,-73.867135,0,0,0,30.16833333,75.36666667,7.1
973,40,40.69132,-73.867135,0,0,0,30.16833333,75.36666667,7.1
484,44,40.69132,-73.867135,0,0,0,30.16833333,75.36666667,7.1
1,144,40.692304,-73.860151,0,0,0,30.28,54.4,9.46
0,148,40.692304,-73.860151,0,0,0,30.28,54.4,9.46
0,156,40.692304,-73.860151,0,0,0,30.28,54.4,9.46
1,160,40.692304,-73.860151,0,0,0,30.28,54.4,9.46
0,164,40.692304,-73.860151,0,0,0,30.28,54.4,9.46
55,0,40.692304,-73.860151,0,0,0,30.25333333,53.46666667,8.266666667
35,4,40.692304,-73.860151,0,0,0,30.25333333,53.46666667,8.266666667
786,8,40.692304,-73.860151,0,0,0,30.25333333,53.46666667,8.266666667
1838,12,40.692304,-73.860151,0,0,0,30.25333333,53.46666667,8.266666667
541,16,40.692304,-73.860151,0,0,0,30.25333333,53.46666667,8.266666667
419,20,40.692304,-73.860151,0,0,0,30.25333333,53.46666667,8.266666667
194,24,40.692304,-73.860151,0,0,0,30.075,59.16666667,10.56666667
22,28,40.692304,-73.860151,0,0,0,30.075,59.16666667,10.56666667
1189,32,40.692304,-73.860151,0,0,0,30.075,59.16666667,10.56666667
1498,36,40.692304,-73.860151,0,0,0,30.075,59.16666667,10.56666667
606,40,40.692304,-73.860151,0,0,0,30.075,59.16666667,10.56666667
482,44,40.692304,-73.860151,0,0,0,30.075,59.16666667,10.56666667
178,48,40.692304,-73.860151,0,0,0.004,29.966,53.38,13.12
37,52,40.692304,-73.860151,0,0,0.004,29.966,53.38,13.12
2636,60,40.692304,-73.860151,0,1,0.004,29.966,53.38,13.12
569,64,40.692304,-73.860151,0,0,0.004,29.966,53.38,13.12
406,68,40.692304,-73.860151,0,0,0.004,29.966,53.38,13.12
163,72,40.692304,-73.860151,0,0,0,29.96,56.83333333,17.08333333
35,76,40.692304,-73.860151,0,0,0,29.96,56.83333333,17.08333333
495,80,40.692304,-73.860151,0,0,0,29.96,56.83333333,17.08333333
2161,84,40.692304,-73.860151,0,0,0,29.96,56.83333333,17.08333333
617,88,40.692304,-73.860151,0,0,0,29.96,56.83333333,17.08333333
461,92,40.692304,-73.860151,0,0,0,29.96,56.83333333,17.08333333
194,96,40.692304,-73.860151,0,0,0,29.95166667,56.98333333,13.63333333
22,100,40.692304,-73.860151,0,0,0,29.95166667,56.98333333,13.63333333
1412,104,40.692304,-73.860151,0,0,0,29.95166667,56.98333333,13.63333333
1155,108,40.692304,-73.860151,0,0,0,29.95166667,56.98333333,13.63333333
627,112,40.692304,-73.860151,0,0,0,29.95166667,56.98333333,13.63333333
499,116,40.692304,-73.860151,0,0,0,29.95166667,56.98333333,13.63333333
219,120,40.692304,-73.860151,0,0,0,29.8525,56.825,10.375
23,124,40.692304,-73.860151,0,0,0,29.8525,56.825,10.375
12,136,40.692304,-73.860151,0,0,0,29.8525,56.825,10.375
