ENTRIESn_hourly,day_hour,weekday,latitude,longitude,fog,rain,precipi,pressurei,tempi,wspdi
27,148,0,40.689945,-73.872564,0,1,0,29.68,55.4,9.2
214,156,0,40.689945,-73.872564,0,1,0,29.61,62.6,9.2
173,160,0,40.689945,-73.872564,0,0,0,29.55,69.8,10.4
110,164,0,40.689945,-73.872564,0,0,0,29.6,62.6,10.4
57,0,1,40.689945,-73.872564,0,0,0,29.61,62.6,8.1
15,4,1,40.689945,-73.872564,0,0,0,29.61,61,5.8
217,8,1,40.689945,-73.872564,0,1,0.01,29.68,53.6,18.4
686,12,1,40.689945,-73.872564,0,1,0,29.72,55.4,16.1
248,16,1,40.689945,-73.872564,0,1,0,29.73,53.6,15
216,20,1,40.689945,-73.872564,0,1,0,29.8,53.6,18.4
64,24,1,40.689945,-73.872564,0,0,0,29.88,53.6,12.7
23,28,1,40.689945,-73.872564,0,1,0.02,29.89,51.8,17.3
249,32,1,40.689945,-73.872564,0,1,0,29.91,53.6,18.4
678,36,1,40.689945,-73.872564,0,1,0,29.91,57,15
268,40,1,40.689945,-73.872564,0,0,0,29.93,57,13.8
194,44,1,40.689945,-73.872564,0,0,0,29.95,55.9,16.1
77,48,1,40.689945,-73.872564,0,1,0.02,29.95,54,23
15,52,1,40.689945,-73.872564,0,1,0,29.93,55.4,13.8
250,60,1,40.689945,-73.872564,0,0,0,29.99,60.1,13.8
699,64,1,40.689945,-73.872564,0,1,0.08,29.96,57.2,12.7
167,68,1,40.689945,-73.872564,0,0,0,29.95,57.2,11.5
362,72,1,40.689945,-73.872564,0,0,0,29.94,62.6,9.2
15,76,1,40.689945,-73.872564,0,0,0,29.97,57.9,6.9
963,84,1,40.689945,-73.872564,0,0,0,30.02,64.4,9.2
256,88,1,40.689945,-73.872564,0,0,0,29.96,70,12.7
243,92,1,40.689945,-73.872564,0,0,0,29.97,62.1,10.4
69,96,1,40.689945,-73.872564,0,0,0,29.96,60.8,6.9
20,100,1,40.689945,-73.872564,0,0,0,29.95,57.2,6.9
233,104,1,40.689945,-73.872564,1,0,0,29.96,62.6,6.9
206,108,1,40.689945,-73.872564,0,1,0.01,29.94,62.1,4.6
778,112,1,40.689945,-73.872564,0,1,0.01,29.92,62.6,0
256,116,1,40.689945,-73.872564,0,0,0,29.93,61,4.6
70,120,0,40.689945,-73.872564,0,0,0,29.94,57.9,0
18,124,0,40.689945,-73.872564,0,0,0,29.92,55,0
385,132,0,40.689945,-73.872564,0,0,0,29.95,72,3.5
206,136,0,40.689945,-73.872564,0,0,0,29.92,72,11.5
135,140,0,40.689945,-73.872564,1,0,0,29.98,62.1,8.1
86,144,0,40.689945,-73.872564,0,0,0,30.04,57,0
25,148,0,40.689945,-73.872564,0,0,0,30.08,55.9,6.9
242,156,0,40.689945,-73.872564,0,1,0,30.17,55.9,9.2
167,160,0,40.689945,-73.872564,0,0,0,30.17,55.9,10.4
87,164,0,40.689945,-73.872564,0,0,0,30.14,54,10.4
45,0,1,40.689945,-73.872564,0,0,0,30.14,55.4,8.1
15,4,1,40.689945,-73.872564,0,0,0,30.11,55.4,4.6
238,8,1,40.689945,-73.872564,0,0,0,30.06,60.1,8.1
681,12,1,40.689945,-73.872564,0,0,0,30.04,60.8,5.8
246,16,1,40.689945,-73.872564,0,0,0,29.92,62.6,11.5
197,20,1,40.689945,-73.872564,0,0,0,29.83,63,15
68,24,1,40.689945,-73.872564,0,0,0,29.8,64.4,8.1
21,28,1,40.689945,-73.872564,0,0,0,29.77,64.4,6.9
487,32,1,40.689945,-73.872564,1,0,0,29.77,73.4,10.4
477,36,1,40.689945,-73.872564,0,0,0,29.75,80.1,8.1
276,40,1,40.689945,-73.872564,0,0,0,29.76,81,13.8
225,44,1,40.689945,-73.872564,0,0,0,29.79,78.1,9.2
96,48,1,40.689945,-73.872564,0,0,0,29.83,73,0
20,52,1,40.689945,-73.872564,0,0,0,29.86,64,5.8
944,60,1,40.689945,-73.872564,0,0,0,29.92,79,4.6
470,72,1,40.689945,-73.872564,0,0,0,29.94,66,9.2
16,76,1,40.689945,-73.872564,0,0,0,29.93,62.1,6.9
614,80,1,40.689945,-73.872564,1,0,0,29.95,64.4,5.8
433,84,1,40.689945,-73.872564,0,0,0,29.93,71.6,12.7
278,88,1,40.689945,-73.872564,1,0,0,29.87,71.6,13.8
226,92,1,40.689945,-73.872564,0,0,0,29.85,69.1,9.2
92,96,1,40.689945,-73.872564,0,0,0,29.91,66.9,8.1
15,100,1,40.689945,-73.872564,0,0,0,29.93,64,0
899,108,1,40.689945,-73.872564,0,0,0,29.95,78.1,6.9
261,112,1,40.689945,-73.872564,0,0,0,29.91,79,12.7
227,116,1,40.689945,-73.872564,0,0,0,29.94,71.1,10.4
93,120,0,40.689945,-73.872564,0,0,0,29.98,70,9.2
16,124,0,40.689945,-73.872564,0,0,0,29.98,66.9,4.6
347,132,0,40.689945,-73.872564,0,0,0,30.02,82,13.8
228,136,0,40.689945,-73.872564,0,0,0,30.02,75.9,18.4
146,140,0,40.689945,-73.872564,0,0,0,30.04,71.1,11.5
86,144,0,40.689945,-73.872564,0,0,0,30.07,69.1,8.1
48,148,0,40.689945,-73.872564,0,0,0,30.07,66,5.8
263,156,0,40.689945,-73.872564,0,0,0,30.09,79,11.5
190,160,0,40.689945,-73.872564,0,0,0,30.04,79,18.4
120,164,0,40.689945,-73.872564,0,0,0,30.06,75.9,5.8
89,0,1,40.689945,-73.872564,0,0,0,30.07,75.9,11.5
25,4,1,40.689945,-73.872564,0,0,0,30.02,73,6.9
74,8,1,40.689945,-73.872564,0,0,0,30.08,71.1,18.4
261,12,1,40.689945,-73.872564,0,0,0,30.08,81,4.6
257,16,1,40.689945,-73.872564,0,0,0,30.05,86,9.2
146,20,1,40.689945,-73.872564,0,0,0,30.08,82,6.9
89,24,1,40.689945,-73.872564,0,0,0,30.12,78.1,5.8
26,28,1,40.689945,-73.872564,0,0,0,30.13,73,3.5
241,32,1,40.689945,-73.872564,0,0,0,30.19,73.9,6.9
680,36,1,40.689945,-73.872564,0,0,0,30.2,81,11.5
295,40,1,40.689945,-73.872564,0,0,0,30.15,82.9,9.2
203,44,1,40.689945,-73.872564,0,0,0,30.16,73.9,9.2
0,144,0,40.69132,-73.867135,0,0,0,30.24,52,8.1
0,148,0,40.69132,-73.867135,0,0,0,30.26,52,3.5
0,152,0,40.69132,-73.867135,0,0,0,30.3,60.1,8.1
0,156,0,40.69132,-73.867135,0,0,0,30.3,61,13.8
0,160,0,40.69132,-73.867135,0,0,0,30.3,55.9,11.5
0,164,0,40.69132,-73.867135,0,0,0,30.3,51.1,10.4
54,0,1,40.69132,-73.867135,0,0,0,30.32,48.9,6.9
35,4,1,40.69132,-73.867135,0,0,0,30.28,50,5.8
960,8,1,40.69132,-73.867135,0,0,0,30.31,53.1,6.9
1319,12,1,40.69132,-73.867135,0,0,0,30.26,55.9,9.2
1004,16,1,40.69132,-73.867135,0,0,0,30.18,57.9,15
505,20,1,40.69132,-73.867135,0,0,0,30.17,55,5.8
129,24,1,40.69132,-73.867135,0,0,0,30.14,54,3.5
37,28,1,40.69132,-73.867135,0,0,0,30.13,54,4.6
353,32,1,40.69132,-73.867135,0,0,0,30.12,61,8.1
2039,36,1,40.69132,-73.867135,0,0,0,30.09,64.9,8.1
964,40,1,40.69132,-73.867135,0,0,0,30,62.1,16.1
566,44,1,40.69132,-73.867135,0,0,0,29.97,59,23
162,48,1,40.69132,-73.867135,0,0,0,29.98,57.2,15
34,52,1,40.69132,-73.867135,0,0,0,29.92,55,4.6
1916,60,1,40.69132,-73.867135,0,1,0.01,29.96,53.6,13.8
1280,68,1,40.69132,-73.867135,0,0,0,30.02,51.1,18.4
824,72,1,40.69132,-73.867135,0,0,0,30.01,48.9,15
37,76,1,40.69132,-73.867135,0,0,0,29.99,48,12.7
1122,80,1,40.69132,-73.867135,0,0,0,29.99,55,17.3
1236,84,1,40.69132,-73.867135,0,0,0,29.93,63,20.7
999,88,1,40.69132,-73.867135,0,0,0,29.89,66,23
584,92,1,40.69132,-73.867135,0,0,0,29.95,60.1,13.8
170,96,1,40.69132,-73.867135,0,0,0,29.99,48.9,6.9
46,100,1,40.69132,-73.867135,0,0,0,29.97,50,9.2
604,104,1,40.69132,-73.867135,0,0,0,30.01,57.9,12.7
1676,108,1,40.69132,-73.867135,0,0,0,29.97,66,12.7
954,112,1,40.69132,-73.867135,0,0,0,29.88,62.1,20.7
483,116,1,40.69132,-73.867135,0,0,0,29.89,57,19.6
183,120,0,40.69132,-73.867135,0,0,0,29.89,53.1,8.1
45,124,0,40.69132,-73.867135,0,0,0,29.84,50,6.9
1,132,0,40.69132,-73.867135,0,0,0,29.84,68,12.7
0,136,0,40.69132,-73.867135,0,0,0,29.82,62.1,17.3
0,140,0,40.69132,-73.867135,0,0,0,29.86,62.1,9.2
0,144,0,40.69132,-73.867135,0,0,0,29.87,57,9.2
0,148,0,40.69132,-73.867135,0,0,0,29.88,53.1,5.8
0,156,0,40.69132,-73.867135,0,0,0,29.88,71.1,6.9
0,160,0,40.69132,-73.867135,0,0,0,29.86,68,9.2
0,164,0,40.69132,-73.867135,0,0,0,29.92,60.8,13.8
2,0,1,40.69132,-73.867135,0,0,0,29.97,57,0
14,4,1,40.69132,-73.867135,0,0,0,29.95,55,6.9
321,8,1,40.69132,-73.867135,0,0,0,30.01,60.1,18.4
1951,12,1,40.69132,-73.867135,0,0,0,29.95,68,8.1
923,16,1,40.69132,-73.867135,0,0,0,29.88,71.1,15
574,20,1,40.69132,-73.867135,0,0,0,29.93,64.9,12.7
163,24,1,40.69132,-73.867135,0,0,0,29.94,59,12.7
37,28,1,40.69132,-73.867135,0,0,0,29.96,55.9,12.7
1030,32,1,40.69132,-73.867135,0,0,0,30.01,62.1,18.4
1303,36,1,40.69132,-73.867135,0,0,0,29.96,71.1,15
961,40,1,40.69132,-73.867135,0,0,0,29.96,61,13.8
549,44,1,40.69132,-73.867135,0,0,0,30.01,54,4.6
150,48,1,40.69132,-73.867135,0,0,0,30.06,53.1,6.9
40,52,1,40.69132,-73.867135,0,0,0,30.04,53.1,9.2
2297,60,1,40.69132,-73.867135,0,0,0,30.09,63,15
899,64,1,40.69132,-73.867135,0,0,0,30.05,69.1,11.5
476,68,1,40.69132,-73.867135,0,0,0,30.1,55.9,3.5
135,72,1,40.69132,-73.867135,0,0,0,30.09,55.9,3.5
259,76,1,40.69132,-73.867135,0,0,0,30.1,59,3.5
2318,84,1,40.69132,-73.867135,0,0,0,30.05,63,11.5
950,88,1,40.69132,-73.867135,0,0,0,30.02,59,13.8
91,92,1,40.69132,-73.867135,0,0,0,30.05,54,9.2
680,96,1,40.69132,-73.867135,0,0,0,30.04,51.1,3.5
41,100,1,40.69132,-73.867135,0,0,0,29.99,54,4.6
442,104,1,40.69132,-73.867135,0,0,0,29.99,59,0
1825,108,1,40.69132,-73.867135,0,0,0,29.98,59,9.2
1014,112,1,40.69132,-73.867135,0,0,0,29.89,62.1,8.1
480,116,1,40.69132,-73.867135,0,0,0,29.9,55.9,6.9
214,120,0,40.69132,-73.867135,0,0,0,29.89,57,8.1
44,124,0,40.69132,-73.867135,0,0,0,29.86,55.9,4.6
1011,132,0,40.69132,-73.867135,0,0,0,29.87,63,10.4
658,136,0,40.69132,-73.867135,0,0,0,29.82,61,9.2
416,140,0,40.69132,-73.867135,0,0,0,29.79,59,9.2
196,144,0,40.69132,-73.867135,0,0,0,29.75,59,5.8
46,148,0,40.69132,-73.867135,0,1,0,29.69,60.8,8.1
636,156,0,40.69132,-73.867135,0,1,0,29.62,60.8,11.5
384,160,0,40.69132,-73.867135,0,0,0,29.59,64.9,12.7
265,164,0,40.69132,-73.867135,0,0,0,29.62,62.1,13.8
144,0,1,40.69132,-73.867135,0,0,0,29.63,62.1,5.8
40,4,1,40.69132,-73.867135,0,0,0,29.62,61,10.4
272,8,1,40.69132,-73.867135,0,0,0,29.67,61,16.1
1952,12,1,40.69132,-73.867135,0,1,0,29.73,61,12.7
180,16,1,40.69132,-73.867135,0,1,0,29.76,59,11.5
451,20,1,40.69132,-73.867135,0,1,0.01,29.82,60.1,6.9
55,24,1,40.69132,-73.867135,0,1,0,29.88,57,10.4
975,28,1,40.69132,-73.867135,0,1,0.03,29.88,53.6,13.8
169,32,1,40.69132,-73.867135,0,1,0.05,29.91,55.4,11.5
2022,36,1,40.69132,-73.867135,0,1,0,29.92,61,15
895,40,1,40.69132,-73.867135,0,1,0,29.93,63,17.3
498,44,1,40.69132,-73.867135,0,0,0,29.94,63,9.2
144,48,1,40.69132,-73.867135,0,0,0.01,29.94,60.1,13.8
37,52,1,40.69132,-73.867135,0,0,0.01,29.95,63,16.1
470,56,1,40.69132,-73.867135,0,0,0,29.99,63,15
1840,60,1,40.69132,-73.867135,0,0,0,30,70,16.1
964,64,1,40.69132,-73.867135,0,1,0.3,29.95,62.1,18.4
551,68,1,40.69132,-73.867135,0,1,0,29.94,62.6,12.7
155,72,1,40.69132,-73.867135,0,0,0,29.95,62.1,10.4
49,76,1,40.69132,-73.867135,0,0,0,29.98,61,4.6
827,80,1,40.69132,-73.867135,0,0,0,30.02,63,6.9
1498,84,1,40.69132,-73.867135,0,0,0,30.03,69.8,6.9
974,88,1,40.69132,-73.867135,0,0,0,29.97,66.2,9.2
592,92,1,40.69132,-73.867135,0,0,0,29.99,62.1,5.8
198,96,1,40.69132,-73.867135,0,0,0,29.97,60.8,6.9
53,100,1,40.69132,-73.867135,0,0,0,29.96,59,3.5
1978,108,1,40.69132,-73.867135,0,0,0,29.96,63,9.2
889,112,1,40.69132,-73.867135,0,1,0.02,29.94,60.8,5.8
422,116,1,40.69132,-73.867135,0,0,0,29.94,59,8.1
681,120,0,40.69132,-73.867135,0,0,0,29.95,55.9,0
40,124,0,40.69132,-73.867135,0,0,0,29.93,55.9,0
141,128,0,40.69132,-73.867135,1,0,0,29.95,62.6,8.1
886,132,0,40.69132,-73.867135,0,0,0,29.97,66.9,9.2
579,136,0,40.69132,-73.867135,0,0,0,29.95,68,8.1
290,140,0,40.69132,-73.867135,0,0,0,29.98,57.2,3.5
228,144,0,40.69132,-73.867135,0,0,0,30.06,55.9,3.5
48,148,0,40.69132,-73.867135,0,0,0,30.09,55,11.5
667,156,0,40.69132,-73.867135,0,0,0,30.19,55.9,12.7
395,160,0,40.69132,-73.867135,0,0,0,30.19,55,10.4
270,164,0,40.69132,-73.867135,0,0,0,30.16,54,11.5
131,0,1,40.69132,-73.867135,0,0,0,30.15,55,9.2
41,4,1,40.69132,-73.867135,0,1,0,30.12,55.9,9.2
287,8,1,40.69132,-73.867135,0,0,0.01,30.08,57.9,11.5
1898,12,1,40.69132,-73.867135,0,0,0,30.05,60.8,9.2
939,16,1,40.69132,-73.867135,0,0,0,29.92,63,10.4
470,20,1,40.69132,-73.867135,0,0,0,29.85,62.1,16.1
158,24,1,40.69132,-73.867135,0,0,0,29.82,62.6,9.2
41,28,1,40.69132,-73.867135,1,0,0,29.8,61,5.8
1023,32,1,40.69132,-73.867135,1,0,0,29.79,62.6,3.5
1252,36,1,40.69132,-73.867135,0,0,0,29.77,80.1,17.3
1000,40,1,40.69132,-73.867135,0,0,0,29.77,80.1,9.2
536,44,1,40.69132,-73.867135,0,0,0,29.8,75,8.1
154,48,1,40.69132,-73.867135,0,0,0,29.84,66,8.1
39,52,1,40.69132,-73.867135,0,0,0,29.87,66,4.6
853,56,1,40.69132,-73.867135,0,0,0,29.93,73,5.8
1488,60,1,40.69132,-73.867135,0,0,0,29.95,75,11.5
1013,64,1,40.69132,-73.867135,0,0,0,29.92,75.9,13.8
512,68,1,40.69132,-73.867135,0,0,0,29.94,66.9,8.1
182,72,1,40.69132,-73.867135,0,0,0,29.96,64,3.5
35,76,1,40.69132,-73.867135,0,0,0,29.94,62.1,5.8
171,80,1,40.69132,-73.867135,0,0,0,29.97,66.2,5.8
2155,84,1,40.69132,-73.867135,0,0,0,29.94,71.1,9.2
1009,88,1,40.69132,-73.867135,0,0,0,29.89,69.1,9.2
552,92,1,40.69132,-73.867135,0,0,0,29.88,66.9,8.1
169,96,1,40.69132,-73.867135,0,0,0,29.92,66,4.6
18,100,1,40.69132,-73.867135,0,0,0,29.94,64,3.5
458,104,1,40.69132,-73.867135,1,0,0,29.99,73,5.8
1747,108,1,40.69132,-73.867135,1,0,0,29.99,73,12.7
1023,112,1,40.69132,-73.867135,0,0,0,29.93,75.9,20.7
471,116,1,40.69132,-73.867135,0,0,0,29.96,66.9,21.9
225,120,0,40.69132,-73.867135,0,0,0,30,66,4.6
48,124,0,40.69132,-73.867135,0,0,0,30,64,6.9
952,132,0,40.69132,-73.867135,0,0,0,30.05,77,11.5
473,136,0,40.69132,-73.867135,0,0,0,30.05,73.9,15
340,140,0,40.69132,-73.867135,0,0,0,30.06,68,13.8
206,144,0,40.69132,-73.867135,0,0,0,30.09,66,9.2
88,148,0,40.69132,-73.867135,1,0,0,30.09,64.9,6.9
98,152,0,40.69132,-73.867135,0,0,0,30.13,66.2,6.9
584,156,0,40.69132,-73.867135,0,0,0,30.13,75.9,10.4
480,160,0,40.69132,-73.867135,0,0,0,30.06,75,18.4
250,164,0,40.69132,-73.867135,0,0,0,30.08,70,15
190,0,1,40.69132,-73.867135,0,0,0,30.09,64.9,5.8
62,4,1,40.69132,-73.867135,0,0,0,30.04,66.9,3.5
117,8,1,40.69132,-73.867135,0,1,0.01,30.09,72,13.8
676,12,1,40.69132,-73.867135,0,0,0,30.1,82.9,8.1
512,16,1,40.69132,-73.867135,0,0,0,30.06,82,9.2
343,20,1,40.69132,-73.867135,0,0,0,30.1,73,4.6
193,24,1,40.69132,-73.867135,0,0,0,30.13,72,0
42,28,1,40.69132,-73.867135,0,0,0,30.14,73,6.9
834,32,1,40.69132,-73.867135,0,0,0,30.19,80.1,6.9
1373,36,1,40.69132,-73.867135,0,0,0,30.2,81,10.4
973,40,1,40.69132,-73.867135,0,0,0,30.17,77,13.8
484,44,1,40.69132,-73.867135,0,0,0,30.18,69.1,4.6
1,144,0,40.692304,-73.860151,0,0,0,30.24,52,8.1
0,148,0,40.692304,-73.860151,0,0,0,30.26,52,3.5
0,156,0,40.692304,-73.860151,0,0,0,30.3,61,13.8
1,160,0,40.692304,-73.860151,0,0,0,30.3,55.9,11.5
0,164,0,40.692304,-73.860151,0,0,0,30.3,51.1,10.4
55,0,1,40.692304,-73.860151,0,0,0,30.32,48.9,6.9
35,4,1,40.692304,-73.860151,0,0,0,30.28,50,5.8
786,8,1,40.692304,-73.860151,0,0,0,30.31,53.1,6.9
1838,12,1,40.692304,-73.860151,0,0,0,30.26,55.9,9.2
541,16,1,40.692304,-73.860151,0,0,0,30.18,57.9,15
419,20,1,40.692304,-73.860151,0,0,0,30.17,55,5.8
194,24,1,40.692304,-73.860151,0,0,0,30.14,54,3.5
22,28,1,40.692304,-73.860151,0,0,0,30.13,54,4.6
1189,32,1,40.692304,-73.860151,0,0,0,30.12,61,8.1
1498,36,1,40.692304,-73.860151,0,0,0,30.09,64.9,8.1
606,40,1,40.692304,-73.860151,0,0,0,30,62.1,16.1
482,44,1,40.692304,-73.860151,0,0,0,29.97,59,23
178,48,1,40.692304,-73.860151,0,0,0,29.98,57.2,15
37,52,1,40.692304,-73.860151,0,0,0,29.92,55,4.6
2636,60,1,40.692304,-73.860151,0,1,0.01,29.96,53.6,13.8
569,64,1,40.692304,-73.860151,0,0,0.01,29.95,50,13.8
406,68,1,40.692304,-73.860151,0,0,0,30.02,51.1,18.4
163,72,1,40.692304,-73.860151,0,0,0,30.01,48.9,15
35,76,1,40.692304,-73.860151,0,0,0,29.99,48,12.7
495,80,1,40.692304,-73.860151,0,0,0,29.99,55,17.3
2161,84,1,40.692304,-73.860151,0,0,0,29.93,63,20.7
617,88,1,40.692304,-73.860151,0,0,0,29.89,66,23
461,92,1,40.692304,-73.860151,0,0,0,29.95,60.1,13.8
194,96,1,40.692304,-73.860151,0,0,0,29.99,48.9,6.9
22,100,1,40.692304,-73.860151,0,0,0,29.97,50,9.2
1412,104,1,40.692304,-73.860151,0,0,0,30.01,57.9,12.7
1155,108,1,40.692304,-73.860151,0,0,0,29.97,66,12.7
627,112,1,40.692304,-73.860151,0,0,0,29.88,62.1,20.7
499,116,1,40.692304,-73.860151,0,0,0,29.89,57,19.6
219,120,0,40.692304,-73.860151,0,0,0,29.89,53.1,8.1
23,124,0,40.692304,-73.860151,0,0,0,29.84,50,6.9
12,136,0,40.692304,-73.860151,0,0,0,29.82,62.1,17.3
1,140,0,40.692304,-73.860151,0,0,0,29.86,62.1,9.2
0,144,0,40.692304,-73.860151,0,0,0,29.87,57,9.2
0,148,0,40.692304,-73.860151,0,0,0,29.88,53.1,5.8
0,152,0,40.692304,-73.860151,0,0,0,29.9,63,9.2
1,156,0,40.692304,-73.860151,0,0,0,29.88,71.1,6.9
0,160,0,40.692304,-73.860151,0,0,0,29.86,68,9.2
0,164,0,40.692304,-73.860151,0,0,0,29.92,60.8,13.8
12,0,1,40.692304,-73.860151,0,0,0,29.97,57,0
25,4,1,40.692304,-73.860151,0,0,0,29.95,55,6.9
2584,12,1,40.692304,-73.860151,0,0,0,29.95,68,8.1
565,16,1,40.692304,-73.860151,0,0,0,29.88,71.1,15
403,20,1,40.692304,-73.860151,0,0,0,29.93,64.9,12.7
203,24,1,40.692304,-73.860151,0,0,0,29.94,59,12.7
36,28,1,40.692304,-73.860151,0,0,0,29.96,55.9,12.7
2705,36,1,40.692304,-73.860151,0,0,0,29.96,71.1,15
624,40,1,40.692304,-73.860151,0,0,0,29.96,61,13.8
441,44,1,40.692304,-73.860151,0,0,0,30.01,54,4.6
190,48,1,40.692304,-73.860151,0,0,0,30.06,53.1,6.9
44,52,1,40.692304,-73.860151,0,0,0,30.04,53.1,9.2
2695,60,1,40.692304,-73.860151,0,0,0,30.09,63,15
601,64,1,40.692304,-73.860151,0,0,0,30.05,69.1,11.5
439,68,1,40.692304,-73.860151,0,0,0,30.1,55.9,3.5
177,72,1,40.692304,-73.860151,0,0,0,30.09,55.9,3.5
47,76,1,40.692304,-73.860151,0,0,0,30.1,59,3.5
1028,80,1,40.692304,-73.860151,0,0,0,30.09,62.1,10.4
1629,84,1,40.692304,-73.860151,0,0,0,30.05,63,11.5
583,88,1,40.692304,-73.860151,0,0,0,30.02,59,13.8
433,92,1,40.692304,-73.860151,0,0,0,30.05,54,9.2
